BudgetPeriod,Budget Amount,BudgetYear,Customer Number,textBudgetPeriod
1,-4841.4,2008,10015325,Jan
1,-2927.53,2008,10025305,Jan
1,-1464.95,2008,10025269,Jan
1,-1126.74,2008,10000455,Jan
1,-971.65,2008,10015783,Jan
1,-828.86,2008,10022755,Jan
1,-276.54,2008,10017072,Jan
1,-30.94,2008,10014495,Jan
1,4.29,2008,10018352,Jan
1,22.48,2008,10020445,Jan
1,23.21,2008,10014802,Jan
1,26.57,2008,10017036,Jan
1,27.96,2008,10012234,Jan
1,33.78,2008,10026532,Jan
1,35.91,2008,10023275,Jan
1,42.1,2008,10025061,Jan
1,44.78,2008,10021185,Jan
1,53,2008,10003720,Jan
1,58.99,2008,10000462,Jan
1,71.38,2008,10016045,Jan
1,73.02,2008,10019900,Jan
1,76.17,2008,10008593,Jan
1,79.79,2008,10010698,Jan
1,94.58,2008,10023471,Jan
1,95.4,2008,10024524,Jan
1,108.8,2008,10000469,Jan
1,121.86,2008,10023516,Jan
1,129.42,2008,10022167,Jan
1,152.59,2008,10027381,Jan
1,152.88,2008,10025549,Jan
1,167.62,2008,10011981,Jan
1,178.84,2008,10006093,Jan
1,180.16,2008,10003749,Jan
1,184.43,2008,10016047,Jan
1,185.04,2008,10023235,Jan
1,188.78,2008,10026062,Jan
1,192.91,2008,10004255,Jan
1,207.24,2008,10025289,Jan
1,212.71,2008,10026581,Jan
1,222.23,2008,10025034,Jan
1,234.03,2008,10025284,Jan
1,248.52,2008,10027082,Jan
1,252.29,2008,10023489,Jan
1,280.51,2008,10010897,Jan
1,295.24,2008,10009647,Jan
1,312.58,2008,10019678,Jan
1,338.06,2008,10027340,Jan
1,342.91,2008,10026522,Jan
1,350,2008,10011521,Jan
1,360.85,2008,10025287,Jan
1,378.13,2008,10020907,Jan
1,378.86,2008,10016564,Jan
1,384.47,2008,10007120,Jan
1,394.44,2008,10022431,Jan
1,464.99,2008,10020639,Jan
1,503,2008,10019665,Jan
1,506.21,2008,10007591,Jan
1,516,2008,1000601,Jan
1,531.74,2008,10024009,Jan
1,548.74,2008,10025038,Jan
1,548.97,2008,10024262,Jan
1,558.25,2008,10026038,Jan
1,562.39,2008,10025304,Jan
1,569.74,2008,10024010,Jan
1,576.8,2008,10018867,Jan
1,588.67,2008,10003795,Jan
1,601.39,2008,10025248,Jan
1,615.58,2008,10018580,Jan
1,620.71,2008,10026006,Jan
1,658.04,2008,10019664,Jan
1,663.84,2008,10019897,Jan
1,665.94,2008,10007123,Jan
1,669.57,2008,10011398,Jan
1,679.55,2008,10025583,Jan
1,710.68,2008,10000456,Jan
1,731.89,2008,10023513,Jan
1,735.06,2008,10020931,Jan
1,742.91,2008,10025021,Jan
1,777.51,2008,10014043,Jan
1,782.13,2008,10005043,Jan
1,782.45,2008,10013509,Jan
1,782.58,2008,10025571,Jan
1,830.01,2008,10025299,Jan
1,846.41,2008,10000481,Jan
1,885.15,2008,10000475,Jan
1,896.03,2008,10022423,Jan
1,898,2008,10014804,Jan
1,898.32,2008,10010914,Jan
1,903.57,2008,10026078,Jan
1,921.97,2008,10014047,Jan
1,944.54,2008,10021996,Jan
1,1008.63,2008,10000466,Jan
1,1010.13,2008,10019388,Jan
1,1013.06,2008,10020663,Jan
1,1016.09,2008,10022732,Jan
1,1035.58,2008,10017852,Jan
1,1063.75,2008,10021175,Jan
1,1122.3,2008,10025778,Jan
1,1132.4,2008,10013188,Jan
1,1139.61,2008,10004256,Jan
1,1149.45,2008,10015275,Jan
1,1167.38,2008,10023783,Jan
1,1203.97,2008,10026334,Jan
1,1289.3,2008,10020662,Jan
1,1311.31,2008,10026336,Jan
1,1356.69,2008,10021145,Jan
1,1357.33,2008,10016334,Jan
1,1386.78,2008,10020448,Jan
1,1407.16,2008,10026861,Jan
1,1461.84,2008,10016807,Jan
1,1463.42,2008,10017553,Jan
1,1498.66,2008,10022678,Jan
1,1569.77,2008,10025249,Jan
1,1595.09,2008,10010935,Jan
1,1693.1,2008,10007566,Jan
1,1711.48,2008,10021179,Jan
1,1733.53,2008,10008134,Jan
1,1768.01,2008,10009633,Jan
1,1810.1,2008,10025251,Jan
1,1860.67,2008,10013472,Jan
1,1870.24,2008,10018644,Jan
1,1888.71,2008,10022750,Jan
1,2034.51,2008,10009631,Jan
1,2134.67,2008,10004516,Jan
1,2194.55,2008,10014739,Jan
1,2218.08,2008,10022456,Jan
1,2323.06,2008,10021222,Jan
1,2495.91,2008,10013232,Jan
1,2505.25,2008,10015011,Jan
1,2518.81,2008,10025552,Jan
1,2580.24,2008,10022168,Jan
1,2728.95,2008,10023447,Jan
1,2762.92,2008,10021139,Jan
1,2874.65,2008,10014803,Jan
1,2898.66,2008,10019909,Jan
1,2918.16,2008,10022490,Jan
1,3297.81,2008,10010912,Jan
1,3362.87,2008,10025036,Jan
1,3413.86,2008,10025049,Jan
1,3442.73,2008,10021472,Jan
1,3473.5,2008,10020672,Jan
1,3566.22,2008,10020915,Jan
1,3692.67,2008,10022470,Jan
1,3698.12,2008,10002489,Jan
1,4048.78,2008,10026299,Jan
1,4099.56,2008,10011732,Jan
1,4236.05,2008,10023778,Jan
1,4342.1,2008,10025023,Jan
1,4358.12,2008,10007117,Jan
1,4413.99,2008,10009653,Jan
1,4648.46,2008,10025243,Jan
1,4754.23,2008,10023964,Jan
1,4802.29,2008,10027119,Jan
1,5043.39,2008,10026606,Jan
1,5056.79,2008,10018628,Jan
1,5214.81,2008,10025560,Jan
1,5301.78,2008,10009657,Jan
1,5317.27,2008,10007355,Jan
1,5322.27,2008,10023003,Jan
1,5336.56,2008,10000472,Jan
1,5650.98,2008,10020914,Jan
1,5745.12,2008,10025051,Jan
1,5761.71,2008,10015793,Jan
1,5787.32,2008,10010887,Jan
1,5976.16,2008,10011734,Jan
1,6033.37,2008,10025508,Jan
1,6197.25,2008,10024725,Jan
1,6201.08,2008,10022201,Jan
1,6309.11,2008,10009639,Jan
1,6322.82,2008,10007564,Jan
1,6336.4,2008,10018665,Jan
1,6401.94,2008,10021936,Jan
1,6480.84,2008,10014264,Jan
1,6575.06,2008,10000478,Jan
1,6587.62,2008,10014238,Jan
1,6815.22,2008,10009645,Jan
1,6935.29,2008,10025575,Jan
1,7210.09,2008,10009907,Jan
1,7421.23,2008,10025033,Jan
1,7472.11,2008,10022730,Jan
1,7506.59,2008,10015824,Jan
1,7755.14,2008,10006862,Jan
1,7776.27,2008,10022450,Jan
1,7791.75,2008,10024550,Jan
1,7827.74,2008,10016858,Jan
1,8075.08,2008,10009669,Jan
1,8142.5,2008,10023241,Jan
1,8424.72,2008,10021470,Jan
1,8894.94,2008,10010886,Jan
1,9000.89,2008,10004302,Jan
1,9014.18,2008,10013011,Jan
1,9096.39,2008,10014471,Jan
1,9138.5,2008,10017638,Jan
1,9245.9,2008,10024034,Jan
1,9568.77,2008,10025252,Jan
1,9862.28,2008,10025285,Jan
1,9914.25,2008,10000460,Jan
1,10104.08,2008,10021986,Jan
1,10864.03,2008,10022962,Jan
1,10870.14,2008,10016549,Jan
1,11755.46,2008,10021977,Jan
1,11778.58,2008,10002244,Jan
1,12416.3,2008,10024270,Jan
1,12483.28,2008,10025495,Jan
1,12514.27,2008,10025237,Jan
1,12717.66,2008,10007121,Jan
1,12929.25,2008,10016548,Jan
1,12952.64,2008,10025791,Jan
1,14310.86,2008,10024260,Jan
1,14319.82,2008,10015495,Jan
1,14799.74,2008,10014546,Jan
1,14896.12,2008,10027370,Jan
1,15875.02,2008,10022240,Jan
1,16071.67,2008,10002765,Jan
1,16076.33,2008,10022725,Jan
1,16127.7,2008,10012425,Jan
1,16417.07,2008,10025264,Jan
1,17217.29,2008,10021412,Jan
1,17362.02,2008,10019410,Jan
1,17864.69,2008,10016588,Jan
1,18018.52,2008,10005006,Jan
1,18435.16,2008,10024006,Jan
1,19044.24,2008,10007309,Jan
1,19399.81,2008,10005810,Jan
1,20425.12,2008,10026294,Jan
1,20757.06,2008,10025032,Jan
1,21163.71,2008,10018371,Jan
1,21400.73,2008,10002220,Jan
1,21618.75,2008,10019942,Jan
1,21733.93,2008,10020192,Jan
1,22627.7,2008,10009985,Jan
1,25305.75,2008,10026839,Jan
1,25941.27,2008,10002506,Jan
1,26074.19,2008,10000461,Jan
1,27112.85,2008,10022687,Jan
1,27578.58,2008,10021204,Jan
1,27957.36,2008,10021160,Jan
1,28004.81,2008,10012422,Jan
1,28063.83,2008,10023221,Jan
1,28115.61,2008,10024016,Jan
1,28325.56,2008,10012235,Jan
1,29119.07,2008,10020962,Jan
1,29185.29,2008,10010884,Jan
1,29657.63,2008,10009652,Jan
1,29781.46,2008,10011979,Jan
1,30638.34,2008,10023524,Jan
1,32668.89,2008,10021736,Jan
1,34665.02,2008,10012715,Jan
1,35498.45,2008,10020449,Jan
1,38162.19,2008,10026868,Jan
1,41457.96,2008,10024248,Jan
1,42327.09,2008,10023495,Jan
1,52142.21,2008,10023715,Jan
