Master Planning Family,Product Department,Product Group,Product Line,Product Price Group,Product Sub Group,Product Type,Short Name
 ,   ,7,1,N,3,26,10977
 ,   ,7,1,N,3,26,10977
 ,   ,7,1,N,3,26,10977
G09,1,7,1, ,3,26,10977
G09,1,7,1, ,3,26,10977
G09,1,7,1, ,3,26,10977
30,1,13,1,N,110,24,10734
30,1,13,1,N,110,24,10734
30,1,13,1,N,110,24,10734
50,1,13,1,N,110,24,10734
50,1,13,1,N,110,24,10734
50,1,13,1,N,110,24,10734
50,1,13,1,N,110,24,10734
50,1,13,1,N,110,24,10734
50,1,13,1,N,110,24,10734
10,1,3,1,N,31,30,10311
10,1,3,1,N,31,30,10311
10,1,3,1,N,31,30,10311
30,1,3,1,N,31,30,10311
30,1,3,1,N,31,30,10311
30,1,3,1,N,31,30,10311
G14,1,3,1, ,31,30,10311
G14,1,3,1, ,31,30,10311
G14,1,3,1, ,31,30,10311
G17,1,19,1, ,61,47,10813
G17,1,19,1, ,61,47,10813
G17,1,19,1, ,61,47,10813
G03,1,19,1, ,61,47,10813
G03,1,19,1, ,61,47,10813
G03,1,19,1, ,61,47,10813
0, ,19,1,1,61,47,10813
0, ,19,1,1,61,47,10813
0, ,19,1,1,61,47,10813
30,1,19,1,N,61,47,10180
30,1,19,1,N,61,47,10180
30,1,19,1,N,61,47,10180
50,1,19,1,N,61,47,10180
50,1,19,1,N,61,47,10180
50,1,19,1,N,61,47,10180
 ,0,19,1,0,61,47,10180
 ,0,19,1,0,61,47,10180
 ,0,19,1,0,61,47,10180
P01,      ,6,1,   ,96,9,10345
P01,      ,6,1,   ,96,9,10345
P01,      ,6,1,   ,96,9,10345
SRS, ,6,1,N,96,9,10345
SRS, ,6,1,N,96,9,10345
SRS, ,6,1,N,96,9,10345
G17,1,6,1, ,96,9,10345
G17,1,6,1, ,96,9,10345
G17,1,6,1, ,96,9,10345
   ,      ,5,1,   ,35,5,10950
   ,      ,5,1,   ,35,5,10950
   ,      ,5,1,   ,35,5,10950
 ,   ,5,1,N,35,5,10950
 ,   ,5,1,N,35,5,10950
 ,   ,5,1,N,35,5,10950
 ,   ,5,1,N,35,5,10950
 ,   ,5,1,N,35,5,10950
 ,   ,5,1,N,35,5,10950
   ,      ,6,1,   ,58,13,10029
   ,      ,6,1,   ,58,13,10029
   ,      ,6,1,   ,58,13,10029
 ,   ,6,1,N,58,13,10029
 ,   ,6,1,N,58,13,10029
 ,   ,6,1,N,58,13,10029
 ,   ,6,1,N,58,13,10029
 ,   ,6,1,N,58,13,10029
 ,   ,6,1,N,58,13,10029
G17,1,6,1, ,58,13,10029
G17,1,6,1, ,58,13,10029
G17,1,6,1, ,58,13,10029
