Item Branch 2nd Item Number,Item Branch Category Code 6,Item Branch G/L Category,Item-Branch Key,Item Branch Reorder Quantity,Short Name
30147,1030,TMTG,CR-10977,0,10977
30147,1030,TMTG,CR-10977,0,10977
27569,1015,SRCW,CR-10734,0,10734
27569,1015,SRCW,CR-10734,0,10734
34783,1035,ACCE,CR-10311,0,10311
34783,1035,ACCE,CR-10311,0,10311
38815,1010,AXLE,CR-10813,0,10813
38815,1010,AXLE,CR-10813,0,10813
60505,1010,AXLE,CR-10180,0,10180
60505,1010,AXLE,CR-10180,0,10180
61692,1005,THUB,CR-10345,0,10345
61692,1005,THUB,CR-10345,0,10345
40552,5020,MKTG,CR-10950,0,10950
40552,5020,MKTG,CR-10950,0,10950
915416,5020,MKTG,CR-10029,0,10029
915416,5020,MKTG,CR-10029,0,10029
15663,1015,SRCW,CR-10295,0,10295
15663,1015,SRCW,CR-10295,0,10295
35338,1050,AFAB,CR-10393,0,10393
35338,1050,AFAB,CR-10393,0,10393
37978,1025,TFAB,CR-10656,0,10656
37978,1025,TFAB,CR-10656,0,10656
38816,1010,AXLE,CR-10814,0,10814
38816,1010,AXLE,CR-10814,0,10814
39927,1015,SRCW,CR-10018,0,10018
39927,1015,SRCW,CR-10018,0,10018
60924,1025,TFAB,CR-10229,0,10229
60924,1025,TFAB,CR-10229,0,10229
61693,1005,THUB,CR-10346,0,10346
61693,1005,THUB,CR-10346,0,10346
63058,1030,TMTG,CR-10588,0,10588
63058,1030,TMTG,CR-10588,0,10588
40627,5020,MKTG,CR-10951,50000,10951
40627,5020,MKTG,CR-10951,50000,10951
15665,1015,SRCW,CR-10296,0,10296
15665,1015,SRCW,CR-10296,0,10296
19742,1030,TMTG,CR-10378,0,10378
19742,1030,TMTG,CR-10378,0,10378
30680,1030,TMTG,CR-10030,0,10030
30680,1030,TMTG,CR-10030,0,10030
37979,1025,TFAB,CR-10657,0,10657
37979,1025,TFAB,CR-10657,0,10657
38820,1010,AXLE,CR-10815,0,10815
38820,1010,AXLE,CR-10815,0,10815
39594,1030,TMTG,CR-10965,0,10965
39594,1030,TMTG,CR-10965,0,10965
39928,1015,SRCW,CR-10019,0,10019
39928,1015,SRCW,CR-10019,0,10019
60927,1050,AFAB,CR-10230,0,10230
60927,1050,AFAB,CR-10230,0,10230
40567,5020,MKTG,CR-10952,10000,10952
40567,5020,MKTG,CR-10952,10000,10952
63708,1080,NISS,PC-10691,0,10691
63708,1080,NISS,PC-10691,0,10691
15667,1015,SRCW,CR-10297,0,10297
15667,1015,SRCW,CR-10297,0,10297
26121,1025,TFAB,CR-10623,0,10623
26121,1025,TFAB,CR-10623,0,10623
31609,1015,SRCW,CR-10075,0,10075
31609,1015,SRCW,CR-10075,0,10075
34287,1045,SMWN,CR-10254,0,10254
34287,1045,SMWN,CR-10254,0,10254
34786,1045,SMWN,CR-10312,0,10312
34786,1045,SMWN,CR-10312,0,10312
37980,1025,TFAB,CR-10658,0,10658
37980,1025,TFAB,CR-10658,0,10658
38821,1010,AXLE,CR-10816,0,10816
38821,1010,AXLE,CR-10816,0,10816
39595,1030,TMTG,CR-10966,0,10966
39595,1030,TMTG,CR-10966,0,10966
63381,1015,SRCW,CR-10649,0,10649
63381,1015,SRCW,CR-10649,0,10649
63783,1040,ATVW,CR-10702,0,10702
63783,1040,ATVW,CR-10702,0,10702
915327,5020,MKTG,CR-10953,500000,10953
915327,5020,MKTG,CR-10953,500000,10953
63904,1090,IWE,PC-10725,0,10725
63904,1090,IWE,PC-10725,0,10725
1106,1015,SRCW,CR-10001,0,10001
1106,1015,SRCW,CR-10001,0,10001
15668,1015,SRCW,CR-10298,0,10298
15668,1015,SRCW,CR-10298,0,10298
19744,1030,TMTG,CR-10379,0,10379
19744,1030,TMTG,CR-10379,0,10379
26123,1025,TFAB,CR-10624,0,10624
26123,1025,TFAB,CR-10624,0,10624
34788,1015,SRCW,CR-10313,0,10313
34788,1015,SRCW,CR-10313,0,10313
37981,1025,TFAB,CR-10659,0,10659
37981,1025,TFAB,CR-10659,0,10659
38822,1010,AXLE,CR-10817,0,10817
38822,1010,AXLE,CR-10817,0,10817
39240,1035,ACCE,CR-10878,0,10878
39240,1035,ACCE,CR-10878,0,10878
61700,1025,TFAB,CR-10347,0,10347
61700,1025,TFAB,CR-10347,0,10347
62754,1010,AXLE,CR-10534,0,10534
62754,1010,AXLE,CR-10534,0,10534
63062,1030,TMTG,CR-10589,0,10589
63062,1030,TMTG,CR-10589,0,10589
26125,1025,TFAB,CR-10625,0,10625
26125,1025,TFAB,CR-10625,0,10625
29519,1015,SRCW,CR-10914,0,10914
29519,1015,SRCW,CR-10914,0,10914
34789,1015,SRCW,CR-10314,0,10314
34789,1015,SRCW,CR-10314,0,10314
37543,1045,SMWN,CR-10580,0,10580
37543,1045,SMWN,CR-10580,0,10580
38826,1005,THUB,CR-10818,0,10818
38826,1005,THUB,CR-10818,0,10818
60934,1015,SRCW,CR-10231,0,10231
60934,1015,SRCW,CR-10231,0,10231
62434,1030,TMTG,CR-10482,0,10482
62434,1030,TMTG,CR-10482,0,10482
62755,1010,AXLE,CR-10535,0,10535
62755,1010,AXLE,CR-10535,0,10535
63063,1035,ACCE,CR-10590,0,10590
63063,1035,ACCE,CR-10590,0,10590
15686,1015,SRCW,CR-10299,0,10299
15686,1015,SRCW,CR-10299,0,10299
19746,1030,TMTG,CR-10380,0,10380
19746,1030,TMTG,CR-10380,0,10380
26126,1025,TFAB,CR-10626,0,10626
26126,1025,TFAB,CR-10626,0,10626
29060,1045,SMWN,CR-10851,0,10851
29060,1045,SMWN,CR-10851,0,10851
